year,month,district_id,lat,lon,coastal,dry_belt,oni,dmi,mjo_amplitude,mjo_phase,onset_target,break_target,heavy_target
1992,7,MP-GWL,26.2183,78.1828,0,1,0.35,-0.479,1.032042581935484,3.0,0.6129032258064516,0.06451612903225806,0.0
1992,8,MP-GWL,26.2183,78.1828,0,1,0.08,-0.768,0.7930089680645162,5.0,0.8709677419354839,0.03225806451612903,0.0
1992,9,MP-GWL,26.2183,78.1828,0,1,-0.15,-0.833,1.1277177353333334,2.0,0.5333333333333333,0.43333333333333335,0.0
1993,6,MP-GWL,26.2183,78.1828,0,1,0.56,-0.108,1.5129156700000002,8.0,0.0,0.8666666666666667,0.0
1993,7,MP-GWL,26.2183,78.1828,0,1,0.28,-0.152,0.8503892948387097,5.0,0.22580645161290322,0.41935483870967744,0.0
1993,8,MP-GWL,26.2183,78.1828,0,1,0.22,-0.306,0.9336245306,1.0,0.41935483870967744,0.41935483870967744,0.0
1993,9,MP-GWL,26.2183,78.1828,0,1,0.2,-0.17,0.4647173026666666,2.0,0.7333333333333333,0.23333333333333334,0.03333333333333333
1995,6,MP-GWL,26.2183,78.1828,0,1,-0.11,-0.078,0.8386585686666667,2.0,0.26666666666666666,0.6666666666666666,0.0
1995,7,MP-GWL,26.2183,78.1828,0,1,-0.3,-0.169,1.3968855583870967,2.0,0.6129032258064516,0.16129032258064516,0.0
1995,8,MP-GWL,26.2183,78.1828,0,1,-0.55,-0.144,1.3320209096774194,2.0,0.7096774193548387,0.12903225806451613,0.03225806451612903
1995,9,MP-GWL,26.2183,78.1828,0,1,-0.81,-0.18,1.0134717556666666,5.0,0.4,0.36666666666666664,0.03333333333333333
1996,6,MP-GWL,26.2183,78.1828,0,1,-0.24,-0.395,1.5769545686666668,3.0,0.16666666666666666,0.8,0.0
1996,7,MP-GWL,26.2183,78.1828,0,1,-0.22,-0.644,1.590457191935484,6.0,0.7096774193548387,0.1935483870967742,0.0
1996,8,MP-GWL,26.2183,78.1828,0,1,-0.27,-0.681,1.0089208741935485,3.0,0.9032258064516129,0.0,0.0
1996,9,MP-GWL,26.2183,78.1828,0,1,-0.3,-0.712,1.0609203293333334,5.0,0.43333333333333335,0.5666666666666667,0.06666666666666667
1998,6,MP-GWL,26.2183,78.1828,0,1,-0.08,0.147,0.921335034,3.0,0.0,0.9333333333333333,0.0
1998,7,MP-GWL,26.2183,78.1828,0,1,-0.63,-0.385,0.75393639,2.0,0.7096774193548387,0.16129032258064516,0.0
1998,8,MP-GWL,26.2183,78.1828,0,1,-0.83,-0.58,1.00514719,2.0,0.7741935483870968,0.06451612903225806,0.0
1998,9,MP-GWL,26.2183,78.1828,0,1,-1.02,-0.496,1.4218518516666667,8.0,0.5666666666666667,0.3,0.03333333333333333
2002,6,MP-GWL,26.2183,78.1828,0,1,0.45,-0.189,1.8803833166666664,2.0,0.0,0.8,0.0
2002,7,MP-GWL,26.2183,78.1828,0,1,0.57,-0.261,1.7221574980645162,8.0,0.0,0.9354838709677419,0.0
2002,8,MP-GWL,26.2183,78.1828,0,1,0.63,-0.208,1.420236031935484,8.0,0.2903225806451613,0.2903225806451613,0.0
2002,9,MP-GWL,26.2183,78.1828,0,1,0.78,0.286,0.7018471730000001,2.0,0.5,0.36666666666666664,0.0
2003,6,MP-GWL,26.2183,78.1828,0,1,-0.13,0.139,1.65106069,1.0,0.23333333333333334,0.7,0.0
2003,7,MP-GWL,26.2183,78.1828,0,1,0.09,0.131,0.992855799032258,2.0,0.22580645161290322,0.06451612903225806,0.0
2003,8,MP-GWL,26.2183,78.1828,0,1,0.14,0.108,0.6039936987096773,6.0,0.3548387096774194,0.3870967741935484,0.0
2003,9,MP-GWL,26.2183,78.1828,0,1,0.23,-0.06,0.7902776976666667,4.0,0.5666666666666667,0.3,0.0
2004,6,MP-GWL,26.2183,78.1828,0,1,0.22,-0.384,1.0188708323333333,7.0,0.0,1.0,0.0
2004,7,MP-GWL,26.2183,78.1828,0,1,0.39,-0.301,1.611224959354839,1.0,0.2903225806451613,0.4838709677419355,0.0
2004,8,MP-GWL,26.2183,78.1828,0,1,0.54,-0.133,1.2484562670967745,6.0,0.7419354838709677,0.06451612903225806,0.0
2004,9,MP-GWL,26.2183,78.1828,0,1,0.58,-0.106,1.438454236,2.0,0.23333333333333334,0.7666666666666667,0.0
2005,6,MP-GWL,26.2183,78.1828,0,1,0.09,-0.176,0.7345759723333334,2.0,0.23333333333333334,0.6666666666666666,0.0
2005,7,MP-GWL,26.2183,78.1828,0,1,-0.04,-0.384,1.029081502903226,2.0,0.7096774193548387,0.12903225806451613,0.0
2005,8,MP-GWL,26.2183,78.1828,0,1,-0.14,-0.345,0.939736100967742,1.0,0.0,0.7096774193548387,0.0
2005,9,MP-GWL,26.2183,78.1828,0,1,-0.11,-0.534,1.522602815,8.0,0.2,0.5,0.0
2007,6,MP-GWL,26.2183,78.1828,0,1,-0.41,0.031,1.3529915246666666,2.0,0.16666666666666666,0.5333333333333333,0.0
2007,7,MP-GWL,26.2183,78.1828,0,1,-0.49,0.045,1.3795319935483872,1.0,0.41935483870967744,0.16129032258064516,0.0
2007,8,MP-GWL,26.2183,78.1828,0,1,-0.77,0.237,0.8762567774193548,2.0,0.41935483870967744,0.3548387096774194,0.0
2007,9,MP-GWL,26.2183,78.1828,0,1,-1.05,0.235,1.1761283893333332,5.0,0.3,0.6,0.0
2008,6,MP-GWL,26.2183,78.1828,0,1,-0.56,0.215,0.953116955,3.0,0.6333333333333333,0.23333333333333334,0.0
2008,7,MP-GWL,26.2183,78.1828,0,1,-0.33,0.246,1.2312710548387096,1.0,0.6129032258064516,0.16129032258064516,0.0
2008,8,MP-GWL,26.2183,78.1828,0,1,-0.2,0.124,1.211697393548387,2.0,0.7096774193548387,0.03225806451612903,0.0
2008,9,MP-GWL,26.2183,78.1828,0,1,-0.25,0.086,1.446583400333333,5.0,0.5666666666666667,0.3,0.0
2009,6,MP-GWL,26.2183,78.1828,0,1,0.34,0.1,1.4584701413333332,8.0,0.0,1.0,0.0
2009,7,MP-GWL,26.2183,78.1828,0,1,0.5,-0.192,0.6150665787096774,5.0,0.3225806451612903,0.41935483870967744,0.0
2009,8,MP-GWL,26.2183,78.1828,0,1,0.56,-0.104,1.12875141,1.0,0.3870967741935484,0.5161290322580645,0.0
2009,9,MP-GWL,26.2183,78.1828,0,1,0.66,-0.103,1.6812911126666668,4.0,0.3333333333333333,0.5,0.0
2010,6,MP-GWL,26.2183,78.1828,0,1,-0.66,-0.14,1.285590429,2.0,0.0,1.0,0.0
2010,7,MP-GWL,26.2183,78.1828,0,1,-0.98,-0.001,1.663601914516129,1.0,0.2903225806451613,0.16129032258064516,0.0
2010,8,MP-GWL,26.2183,78.1828,0,1,-1.24,-0.061,0.747917844516129,1.0,0.5806451612903226,0.12903225806451613,0.03225806451612903
2010,9,MP-GWL,26.2183,78.1828,0,1,-1.43,-0.267,0.8091414173333332,1.0,0.43333333333333335,0.26666666666666666,0.0
2011,6,MP-GWL,26.2183,78.1828,0,1,-0.34,0.055,0.6791252076666666,2.0,0.4,0.3333333333333333,0.0
2011,7,MP-GWL,26.2183,78.1828,0,1,-0.37,0.223,1.0109919648387098,1.0,0.8709677419354839,0.06451612903225806,0.0
2011,8,MP-GWL,26.2183,78.1828,0,1,-0.5,0.344,1.011544473516129,2.0,0.4838709677419355,0.06451612903225806,0.0
2011,9,MP-GWL,26.2183,78.1828,0,1,-0.76,0.202,0.9066917783333334,3.0,0.6,0.3333333333333333,0.0
2014,6,MP-GWL,26.2183,78.1828,0,1,0.22,-0.028,1.108679051,4.0,0.0,0.9333333333333333,0.0
2014,7,MP-GWL,26.2183,78.1828,0,1,0.07,-0.363,1.1528067432258065,6.0,0.3225806451612903,0.2903225806451613,0.0
2014,8,MP-GWL,26.2183,78.1828,0,1,0.07,-0.372,1.2150309538709676,2.0,0.3870967741935484,0.3548387096774194,0.0
2014,9,MP-GWL,26.2183,78.1828,0,1,0.24,-0.145,0.649377995,4.0,0.5,0.43333333333333335,0.03333333333333333
2015,6,MP-GWL,26.2183,78.1828,0,1,1.19,0.296,1.992920383333333,4.0,0.1,0.7666666666666667,0.0
2015,7,MP-GWL,26.2183,78.1828,0,1,1.44,0.225,1.837990334516129,7.0,0.6451612903225806,0.06451612903225806,0.03225806451612903
2015,8,MP-GWL,26.2183,78.1828,0,1,1.73,0.568,0.8428048241935484,8.0,0.41935483870967744,0.25806451612903225,0.0
2015,9,MP-GWL,26.2183,78.1828,0,1,2.02,0.294,0.62977513528,1.0,0.0,0.7,0.0
2016,6,MP-GWL,26.2183,78.1828,0,1,0.09,-0.443,1.5598082686666668,4.0,0.2,0.6333333333333333,0.0
2016,7,MP-GWL,26.2183,78.1828,0,1,-0.19,-0.757,1.0086871877419354,2.0,0.45161290322580644,0.12903225806451613,0.0
2016,8,MP-GWL,26.2183,78.1828,0,1,-0.34,-0.443,1.3634238690322582,6.0,0.9032258064516129,0.06451612903225806,0.0
2016,9,MP-GWL,26.2183,78.1828,0,1,-0.42,-0.437,0.9987363606666668,5.0,0.0,0.7666666666666667,0.0
2017,6,MP-GWL,26.2183,78.1828,0,1,0.32,0.424,1.010765505,1.0,0.06666666666666667,0.5666666666666667,0.0
2017,7,MP-GWL,26.2183,78.1828,0,1,0.14,0.52,1.0194311058064516,3.0,0.3870967741935484,0.25806451612903225,0.0
2017,8,MP-GWL,26.2183,78.1828,0,1,-0.07,0.349,0.560064344016129,2.0,0.3870967741935484,0.5161290322580645,0.0
2017,9,MP-GWL,26.2183,78.1828,0,1,-0.23,0.035,0.5864452456666667,4.0,0.36666666666666664,0.5333333333333333,0.0
2018,6,MP-GWL,26.2183,78.1828,0,1,0.13,0.155,1.099695321,1.0,0.03333333333333333,0.6333333333333333,0.0
2018,7,MP-GWL,26.2183,78.1828,0,1,0.2,0.053,1.4670566325806451,6.0,0.4838709677419355,0.22580645161290322,0.03225806451612903
2018,8,MP-GWL,26.2183,78.1828,0,1,0.3,0.121,1.1604823280645162,6.0,0.7419354838709677,0.22580645161290322,0.0
2018,9,MP-GWL,26.2183,78.1828,0,1,0.52,0.604,1.0746740603333331,8.0,0.3333333333333333,0.36666666666666664,0.03333333333333333
2020,6,MP-GWL,26.2183,78.1828,0,1,-0.18,0.455,1.3547168013333333,1.0,0.0,0.6333333333333333,0.0
2020,7,MP-GWL,26.2183,78.1828,0,1,-0.29,0.319,1.5012130690322585,2.0,0.41935483870967744,0.3548387096774194,0.0
2020,8,MP-GWL,26.2183,78.1828,0,1,-0.43,-0.183,1.5708076487096774,8.0,0.7741935483870968,0.0,0.0
2020,9,MP-GWL,26.2183,78.1828,0,1,-0.77,-0.189,1.1078213236666663,4.0,0.16666666666666666,0.7,0.0
2021,6,MP-GWL,26.2183,78.1828,0,1,-0.31,-0.002,1.2543668813333333,1.0,0.0,0.8666666666666667,0.0
2021,7,MP-GWL,26.2183,78.1828,0,1,-0.35,-0.229,1.2697446645161292,2.0,0.41935483870967744,0.3225806451612903,0.03225806451612903
2021,8,MP-GWL,26.2183,78.1828,0,1,-0.46,-0.099,1.3328496390322582,2.0,0.6451612903225806,0.1935483870967742,0.03225806451612903
2021,9,MP-GWL,26.2183,78.1828,0,1,-0.64,-0.058,1.16716908,3.0,0.5666666666666667,0.03333333333333333,0.0
2022,6,MP-GWL,26.2183,78.1828,0,1,-0.73,-0.335,1.7460144566666669,1.0,0.0,0.7666666666666667,0.0
2022,7,MP-GWL,26.2183,78.1828,0,1,-0.7,-0.195,0.9906527754838708,4.0,0.7419354838709677,0.0,0.0
2022,8,MP-GWL,26.2183,78.1828,0,1,-0.78,-0.246,0.962351660967742,2.0,0.6774193548387096,0.12903225806451613,0.0
2022,9,MP-GWL,26.2183,78.1828,0,1,-0.87,-0.322,0.45954351401,4.0,0.6333333333333333,0.1,0.0
2023,6,MP-GWL,26.2183,78.1828,0,1,0.73,0.665,1.1452140906,2.0,0.36666666666666664,0.6,0.0
2023,7,MP-GWL,26.2183,78.1828,0,1,1.0,0.498,0.7976125261290323,6.0,0.4838709677419355,0.25806451612903225,0.0
2023,8,MP-GWL,26.2183,78.1828,0,1,1.25,0.826,0.9138732870967742,8.0,0.5806451612903226,0.25806451612903225,0.0
2023,9,MP-GWL,26.2183,78.1828,0,1,1.5,0.946,0.8482362092433333,4.0,0.3333333333333333,0.5,0.0
1990,6,MP-SAG,23.8388,78.7378,0,1,0.25,-0.568,0.7040596286666666,6.0,0.6666666666666666,0.3,0.0
1990,7,MP-SAG,23.8388,78.7378,0,1,0.26,-0.246,0.7642434731967742,1.0,0.8064516129032258,0.16129032258064516,0.03225806451612903
1990,8,MP-SAG,23.8388,78.7378,0,1,0.32,-0.391,0.8801470647322581,6.0,0.8709677419354839,0.0,0.0
1990,9,MP-SAG,23.8388,78.7378,0,1,0.31,-0.183,0.775732242,3.0,0.9333333333333333,0.03333333333333333,0.03333333333333333
1991,6,MP-SAG,23.8388,78.7378,0,1,0.63,0.263,1.4334286633333333,5.0,0.3,0.36666666666666664,0.0
1991,7,MP-SAG,23.8388,78.7378,0,1,0.77,0.269,0.6487244419290323,6.0,0.5483870967741935,0.3870967741935484,0.03225806451612903
1991,8,MP-SAG,23.8388,78.7378,0,1,0.67,0.058,1.2953001661290322,5.0,1.0,0.0,0.12903225806451613
1991,9,MP-SAG,23.8388,78.7378,0,1,0.72,0.099,1.3728957676666669,8.0,0.16666666666666666,0.6666666666666666,0.0
1992,6,MP-SAG,23.8388,78.7378,0,1,0.72,-0.861,1.0309609286666666,3.0,0.0,1.0,0.0
1992,7,MP-SAG,23.8388,78.7378,0,1,0.35,-0.479,1.032042581935484,3.0,0.3870967741935484,0.41935483870967744,0.0
1992,8,MP-SAG,23.8388,78.7378,0,1,0.08,-0.768,0.7930089680645162,5.0,0.967741935483871,0.0,0.03225806451612903
1992,9,MP-SAG,23.8388,78.7378,0,1,-0.15,-0.833,1.1277177353333334,2.0,0.5,0.43333333333333335,0.1
1993,6,MP-SAG,23.8388,78.7378,0,1,0.56,-0.108,1.5129156700000002,8.0,0.43333333333333335,0.4,0.0
1993,7,MP-SAG,23.8388,78.7378,0,1,0.28,-0.152,0.8503892948387097,5.0,0.7096774193548387,0.16129032258064516,0.0
1993,8,MP-SAG,23.8388,78.7378,0,1,0.22,-0.306,0.9336245306,1.0,0.7096774193548387,0.03225806451612903,0.03225806451612903
1993,9,MP-SAG,23.8388,78.7378,0,1,0.2,-0.17,0.4647173026666666,2.0,0.7666666666666667,0.0,0.03333333333333333
1995,6,MP-SAG,23.8388,78.7378,0,1,-0.11,-0.078,0.8386585686666667,2.0,0.23333333333333334,0.6333333333333333,0.0
1995,7,MP-SAG,23.8388,78.7378,0,1,-0.3,-0.169,1.3968855583870967,2.0,0.7096774193548387,0.22580645161290322,0.03225806451612903
1995,8,MP-SAG,23.8388,78.7378,0,1,-0.55,-0.144,1.3320209096774194,2.0,0.9354838709677419,0.0,0.0
1995,9,MP-SAG,23.8388,78.7378,0,1,-0.81,-0.18,1.0134717556666666,5.0,0.6,0.3,0.0
1996,6,MP-SAG,23.8388,78.7378,0,1,-0.24,-0.395,1.5769545686666668,3.0,0.0,0.9,0.0
1996,7,MP-SAG,23.8388,78.7378,0,1,-0.22,-0.644,1.590457191935484,6.0,0.9354838709677419,0.0,0.0
1996,8,MP-SAG,23.8388,78.7378,0,1,-0.27,-0.681,1.0089208741935485,3.0,0.8387096774193549,0.0,0.0967741935483871
1996,9,MP-SAG,23.8388,78.7378,0,1,-0.3,-0.712,1.0609203293333334,5.0,0.43333333333333335,0.43333333333333335,0.0
1998,6,MP-SAG,23.8388,78.7378,0,1,-0.08,0.147,0.921335034,3.0,0.06666666666666667,0.8,0.0
1998,7,MP-SAG,23.8388,78.7378,0,1,-0.63,-0.385,0.75393639,2.0,0.8064516129032258,0.0967741935483871,0.0
1998,8,MP-SAG,23.8388,78.7378,0,1,-0.83,-0.58,1.00514719,2.0,0.7419354838709677,0.06451612903225806,0.0967741935483871
1998,9,MP-SAG,23.8388,78.7378,0,1,-1.02,-0.496,1.4218518516666667,8.0,0.6333333333333333,0.03333333333333333,0.0
2002,6,MP-SAG,23.8388,78.7378,0,1,0.45,-0.189,1.8803833166666664,2.0,0.23333333333333334,0.4666666666666667,0.0
2002,7,MP-SAG,23.8388,78.7378,0,1,0.57,-0.261,1.7221574980645162,8.0,0.1935483870967742,0.6129032258064516,0.0
2002,8,MP-SAG,23.8388,78.7378,0,1,0.63,-0.208,1.420236031935484,8.0,0.7419354838709677,0.06451612903225806,0.0
2002,9,MP-SAG,23.8388,78.7378,0,1,0.78,0.286,0.7018471730000001,2.0,0.43333333333333335,0.43333333333333335,0.0
2003,6,MP-SAG,23.8388,78.7378,0,1,-0.13,0.139,1.65106069,1.0,0.06666666666666667,0.7666666666666667,0.0
2003,7,MP-SAG,23.8388,78.7378,0,1,0.09,0.131,0.992855799032258,2.0,0.967741935483871,0.0,0.0
2003,8,MP-SAG,23.8388,78.7378,0,1,0.14,0.108,0.6039936987096773,6.0,0.7419354838709677,0.0,0.0
2003,9,MP-SAG,23.8388,78.7378,0,1,0.23,-0.06,0.7902776976666667,4.0,1.0,0.0,0.0
2004,6,MP-SAG,23.8388,78.7378,0,1,0.22,-0.384,1.0188708323333333,7.0,0.3333333333333333,0.6333333333333333,0.03333333333333333
2004,7,MP-SAG,23.8388,78.7378,0,1,0.39,-0.301,1.611224959354839,1.0,0.41935483870967744,0.45161290322580644,0.0
2004,8,MP-SAG,23.8388,78.7378,0,1,0.54,-0.133,1.2484562670967745,6.0,0.8709677419354839,0.06451612903225806,0.0
2004,9,MP-SAG,23.8388,78.7378,0,1,0.58,-0.106,1.438454236,2.0,0.26666666666666666,0.5333333333333333,0.0
2005,6,MP-SAG,23.8388,78.7378,0,1,0.09,-0.176,0.7345759723333334,2.0,0.23333333333333334,0.6,0.0
2005,7,MP-SAG,23.8388,78.7378,0,1,-0.04,-0.384,1.029081502903226,2.0,0.967741935483871,0.0,0.12903225806451613
2005,8,MP-SAG,23.8388,78.7378,0,1,-0.14,-0.345,0.939736100967742,1.0,0.2903225806451613,0.4838709677419355,0.0
2005,9,MP-SAG,23.8388,78.7378,0,1,-0.11,-0.534,1.522602815,8.0,0.5,0.3,0.0
2007,6,MP-SAG,23.8388,78.7378,0,1,-0.41,0.031,1.3529915246666666,2.0,0.06666666666666667,0.6666666666666666,0.0
2007,7,MP-SAG,23.8388,78.7378,0,1,-0.49,0.045,1.3795319935483872,1.0,0.8709677419354839,0.0,0.0
2007,8,MP-SAG,23.8388,78.7378,0,1,-0.77,0.237,0.8762567774193548,2.0,0.3225806451612903,0.3870967741935484,0.0
2007,9,MP-SAG,23.8388,78.7378,0,1,-1.05,0.235,1.1761283893333332,5.0,0.0,0.9,0.0
2008,6,MP-SAG,23.8388,78.7378,0,1,-0.56,0.215,0.953116955,3.0,0.5666666666666667,0.43333333333333335,0.06666666666666667
2008,7,MP-SAG,23.8388,78.7378,0,1,-0.33,0.246,1.2312710548387096,1.0,0.6129032258064516,0.2903225806451613,0.03225806451612903
2008,8,MP-SAG,23.8388,78.7378,0,1,-0.2,0.124,1.211697393548387,2.0,0.6129032258064516,0.25806451612903225,0.03225806451612903
2008,9,MP-SAG,23.8388,78.7378,0,1,-0.25,0.086,1.446583400333333,5.0,0.06666666666666667,0.26666666666666666,0.0
2009,6,MP-SAG,23.8388,78.7378,0,1,0.34,0.1,1.4584701413333332,8.0,0.06666666666666667,0.7,0.0
2009,7,MP-SAG,23.8388,78.7378,0,1,0.5,-0.192,0.6150665787096774,5.0,0.7096774193548387,0.16129032258064516,0.0
2009,8,MP-SAG,23.8388,78.7378,0,1,0.56,-0.104,1.12875141,1.0,0.4838709677419355,0.3870967741935484,0.06451612903225806
2009,9,MP-SAG,23.8388,78.7378,0,1,0.66,-0.103,1.6812911126666668,4.0,0.5666666666666667,0.43333333333333335,0.1
2010,6,MP-SAG,23.8388,78.7378,0,1,-0.66,-0.14,1.285590429,2.0,0.0,0.8333333333333334,0.0
2010,7,MP-SAG,23.8388,78.7378,0,1,-0.98,-0.001,1.663601914516129,1.0,0.9032258064516129,0.0,0.03225806451612903
2010,8,MP-SAG,23.8388,78.7378,0,1,-1.24,-0.061,0.747917844516129,1.0,0.9032258064516129,0.0,0.0
2010,9,MP-SAG,23.8388,78.7378,0,1,-1.43,-0.267,0.8091414173333332,1.0,0.26666666666666666,0.26666666666666666,0.0
2011,6,MP-SAG,23.8388,78.7378,0,1,-0.34,0.055,0.6791252076666666,2.0,0.4666666666666667,0.5333333333333333,0.06666666666666667
2011,7,MP-SAG,23.8388,78.7378,0,1,-0.37,0.223,1.0109919648387098,1.0,0.7096774193548387,0.06451612903225806,0.06451612903225806
2011,8,MP-SAG,23.8388,78.7378,0,1,-0.5,0.344,1.011544473516129,2.0,0.8387096774193549,0.0,0.0
2011,9,MP-SAG,23.8388,78.7378,0,1,-0.76,0.202,0.9066917783333334,3.0,0.6,0.23333333333333334,0.03333333333333333
2014,6,MP-SAG,23.8388,78.7378,0,1,0.22,-0.028,1.108679051,4.0,0.26666666666666666,0.5,0.0
2014,7,MP-SAG,23.8388,78.7378,0,1,0.07,-0.363,1.1528067432258065,6.0,0.4838709677419355,0.12903225806451613,0.0
2014,8,MP-SAG,23.8388,78.7378,0,1,0.07,-0.372,1.2150309538709676,2.0,0.41935483870967744,0.3225806451612903,0.03225806451612903
2014,9,MP-SAG,23.8388,78.7378,0,1,0.24,-0.145,0.649377995,4.0,0.5333333333333333,0.36666666666666664,0.0
2015,6,MP-SAG,23.8388,78.7378,0,1,1.19,0.296,1.992920383333333,4.0,0.1,0.5333333333333333,0.0
2015,7,MP-SAG,23.8388,78.7378,0,1,1.44,0.225,1.837990334516129,7.0,0.9354838709677419,0.0,0.0
2015,8,MP-SAG,23.8388,78.7378,0,1,1.73,0.568,0.8428048241935484,8.0,0.7096774193548387,0.12903225806451613,0.0
2015,9,MP-SAG,23.8388,78.7378,0,1,2.02,0.294,0.62977513528,1.0,0.13333333333333333,0.6,0.0
2016,6,MP-SAG,23.8388,78.7378,0,1,0.09,-0.443,1.5598082686666668,4.0,0.23333333333333334,0.7,0.0
2016,7,MP-SAG,23.8388,78.7378,0,1,-0.19,-0.757,1.0086871877419354,2.0,0.9032258064516129,0.0,0.0967741935483871
2016,8,MP-SAG,23.8388,78.7378,0,1,-0.34,-0.443,1.3634238690322582,6.0,0.7419354838709677,0.0967741935483871,0.03225806451612903
2016,9,MP-SAG,23.8388,78.7378,0,1,-0.42,-0.437,0.9987363606666668,5.0,0.26666666666666666,0.4666666666666667,0.0
2017,6,MP-SAG,23.8388,78.7378,0,1,0.32,0.424,1.010765505,1.0,0.26666666666666666,0.43333333333333335,0.0
2017,7,MP-SAG,23.8388,78.7378,0,1,0.14,0.52,1.0194311058064516,3.0,0.8064516129032258,0.06451612903225806,0.03225806451612903
2017,8,MP-SAG,23.8388,78.7378,0,1,-0.07,0.349,0.560064344016129,2.0,0.41935483870967744,0.2903225806451613,0.0
2017,9,MP-SAG,23.8388,78.7378,0,1,-0.23,0.035,0.5864452456666667,4.0,0.3,0.3,0.0
2018,6,MP-SAG,23.8388,78.7378,0,1,0.13,0.155,1.099695321,1.0,0.3,0.4,0.0
2018,7,MP-SAG,23.8388,78.7378,0,1,0.2,0.053,1.4670566325806451,6.0,0.8064516129032258,0.06451612903225806,0.03225806451612903
2018,8,MP-SAG,23.8388,78.7378,0,1,0.3,0.121,1.1604823280645162,6.0,0.6451612903225806,0.1935483870967742,0.0
2018,9,MP-SAG,23.8388,78.7378,0,1,0.52,0.604,1.0746740603333331,8.0,0.4,0.5333333333333333,0.0
2020,6,MP-SAG,23.8388,78.7378,0,1,-0.18,0.455,1.3547168013333333,1.0,0.4666666666666667,0.3,0.0
2020,7,MP-SAG,23.8388,78.7378,0,1,-0.29,0.319,1.5012130690322585,2.0,0.4838709677419355,0.1935483870967742,0.03225806451612903
2020,8,MP-SAG,23.8388,78.7378,0,1,-0.43,-0.183,1.5708076487096774,8.0,1.0,0.0,0.03225806451612903
2020,9,MP-SAG,23.8388,78.7378,0,1,-0.77,-0.189,1.1078213236666663,4.0,0.6,0.3333333333333333,0.0
2021,6,MP-SAG,23.8388,78.7378,0,1,-0.31,-0.002,1.2543668813333333,1.0,0.7,0.06666666666666667,0.0
2021,7,MP-SAG,23.8388,78.7378,0,1,-0.35,-0.229,1.2697446645161292,2.0,0.45161290322580644,0.12903225806451613,0.03225806451612903
2021,8,MP-SAG,23.8388,78.7378,0,1,-0.46,-0.099,1.3328496390322582,2.0,0.3548387096774194,0.3225806451612903,0.0
2021,9,MP-SAG,23.8388,78.7378,0,1,-0.64,-0.058,1.16716908,3.0,0.8,0.0,0.0
2022,6,MP-SAG,23.8388,78.7378,0,1,-0.73,-0.335,1.7460144566666669,1.0,0.36666666666666664,0.6333333333333333,0.0
2022,7,MP-SAG,23.8388,78.7378,0,1,-0.7,-0.195,0.9906527754838708,4.0,1.0,0.0,0.0
2022,8,MP-SAG,23.8388,78.7378,0,1,-0.78,-0.246,0.962351660967742,2.0,0.8064516129032258,0.0,0.0967741935483871
2022,9,MP-SAG,23.8388,78.7378,0,1,-0.87,-0.322,0.45954351401,4.0,0.6666666666666666,0.16666666666666666,0.0
2023,6,MP-SAG,23.8388,78.7378,0,1,0.73,0.665,1.1452140906,2.0,0.3,0.6333333333333333,0.03333333333333333
2023,7,MP-SAG,23.8388,78.7378,0,1,1.0,0.498,0.7976125261290323,6.0,0.8709677419354839,0.0,0.0
2023,8,MP-SAG,23.8388,78.7378,0,1,1.25,0.826,0.9138732870967742,8.0,0.5806451612903226,0.3870967741935484,0.03225806451612903
2023,9,MP-SAG,23.8388,78.7378,0,1,1.5,0.946,0.8482362092433333,4.0,0.5333333333333333,0.43333333333333335,0.0
1990,6,UP-LKO,26.8467,80.9462,0,0,0.25,-0.568,0.7040596286666666,6.0,0.23333333333333334,0.6333333333333333,0.0
1990,7,UP-LKO,26.8467,80.9462,0,0,0.26,-0.246,0.7642434731967742,1.0,0.6774193548387096,0.0,0.03225806451612903
1990,8,UP-LKO,26.8467,80.9462,0,0,0.32,-0.391,0.8801470647322581,6.0,0.5483870967741935,0.25806451612903225,0.0
1990,9,UP-LKO,26.8467,80.9462,0,0,0.31,-0.183,0.775732242,3.0,0.36666666666666664,0.2,0.03333333333333333
1991,6,UP-LKO,26.8467,80.9462,0,0,0.63,0.263,1.4334286633333333,5.0,0.0,0.9333333333333333,0.0
1991,7,UP-LKO,26.8467,80.9462,0,0,0.77,0.269,0.6487244419290323,6.0,0.22580645161290322,0.5483870967741935,0.0
1991,8,UP-LKO,26.8467,80.9462,0,0,0.67,0.058,1.2953001661290322,5.0,0.8064516129032258,0.06451612903225806,0.0967741935483871
1991,9,UP-LKO,26.8467,80.9462,0,0,0.72,0.099,1.3728957676666669,8.0,0.6333333333333333,0.36666666666666664,0.03333333333333333
1992,6,UP-LKO,26.8467,80.9462,0,0,0.72,-0.861,1.0309609286666666,3.0,0.1,0.8333333333333334,0.0
1992,7,UP-LKO,26.8467,80.9462,0,0,0.35,-0.479,1.032042581935484,3.0,0.45161290322580644,0.2903225806451613,0.0
1992,8,UP-LKO,26.8467,80.9462,0,0,0.08,-0.768,0.7930089680645162,5.0,0.3870967741935484,0.5806451612903226,0.0
1992,9,UP-LKO,26.8467,80.9462,0,0,-0.15,-0.833,1.1277177353333334,2.0,0.4666666666666667,0.36666666666666664,0.0
1993,6,UP-LKO,26.8467,80.9462,0,0,0.56,-0.108,1.5129156700000002,8.0,0.13333333333333333,0.7666666666666667,0.03333333333333333
